Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID,,relevant,
Trájer A.J.,55763343600;,Ecological evaluation of the development of Neanderthal niche exploitation,2023,Quaternary Science Reviews,310,,108127,,,,,10.1016/j.quascirev.2023.108127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159475312&doi=10.1016%2fj.quascirev.2023.108127&partnerID=40&md5=365eb44496e069fe97df7c6a0c24d5bd,"Understanding the ecological niche occupied by Neanderthals and their ancestors is at the forefront of many Palaeolithic investigations. In this study, a complex characterization of the environments once occupied by these hominins in Western Eurasia were performed. It included the determination of the biome and climatic zones occupied, the potential wind exposures, the classification of the karst regions where they lived, the direction of the entrance of caves inhabited and the average daily total solar irradiation values. In addition, the climatic suitability of the Mediterranean mosquito fauna, tick-borne encephalitis and four large mammal species as potential mammal hosts were also studied. It was found that Western Eurasian hominins occupied a wide ecological niche range from the semi-arid to the subarctic climates. Between the MIS20-MIS4 interval, the biomes occupied by Neanderthals and their ancestors shifted from the woodland-shrubland to the boreal biomes, indicating the increasing general biocultural adaptation to the more continental environments. These populations inhabited territories with weak to moderate wind exposure (Beaufort 2–5) and usually occupied caves with a south or southwest-oriented entrance. This habitat selection indicates the recognition of local microclimatic factors and a conscious choice of shelters. In the glacial periods, the increasing extension of temperate-subpolar karst regions at the expense of the more habitable subtropical karst areas might have adversely affected the overwintering chances of ancient western Eurasian populations in West, Central Europe, and Central Asia. The supraorbital area of ancient hominins with low receding foreheads and prominent supraorbital ridges may have been exposed to a greater risk of the development of frontal sinusitis and its complications than modern humans with more gracile skulls. Neanderthals and their predecessors were exposed to moderate average daily solar radiation values, although these values exhibit heterogenic picture in the comparison of Central and Southern Europe. While the southern European Neanderthal populations were dominantly exposed to the risk of mosquito-borne diseases, the northern and central populations could suffer from tick-borne diseases. However, both tick-borne encephalitis virus and its medium-large mammal hosts were present in most sites dwelled by Neanderthals and their ancestors. © 2023 The Author",Adaptation; Environmental factors; Palaeolithic; Paleoecology,Caves; Ecology; Solar radiation; Viruses; Adaptation; Ecological niche; Environmental factors; Exposed to; Hominins; Karst regions; Large mammals; Neanderthals; Palaeoecology; Paleolithic; Mammals; adaptation; environmental factor; habitat selection; hominid; karst; microclimate; morphology; Neanderthal; overwintering; paleoecology; Paleolithic; subtropical region; Beaufort; Central Asia; Central Europe; Eurasia; North Carolina; Southern Europe; United States,Article,Final,Scopus,2-s2.0-85159475312,,TRUE,?
"Manning K., Breeze P.S., Drake N., Dunne J., Casanova E., Evershed R.P.",23392975700;55496453700;7003403258;55256739900;57189038455;7005538923;,Habitat fragmentation and the sporadic spread of pastoralism in the mid-Holocene Sahara,2023,Quaternary Science Reviews,309,,108070,,,,,10.1016/j.quascirev.2023.108070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153567122&doi=10.1016%2fj.quascirev.2023.108070&partnerID=40&md5=3d12a1ab8cc911dc44bd95d85edffd28,"The transition from hunting and gathering to food production in the Central Sahara is complex and variable. The paucity of direct radiocarbon dates and poor preservation of organic remains makes it difficult to track the origins, spread and intensity of food production in this part of the world. Nevertheless, the prevailing narrative in North African prehistory is that cattle pastoralism was the defining characteristic of mid-Holocene African economies, against a backdrop of widespread aridification. Here we present the first ever trans-Saharan analysis of mid Holocene subsistence behaviour using a novel comparative analysis of zooarchaeological remains, organic residue analysis from pottery and palaeohydrological mapping. In some areas, domestic animal resources appear to have played only a marginal role in economic practices, which were typically diverse and potentially even specialised as a response to local environmental conditions. We utilise organic residue analysis (ORA) from 478 potsherds in conjunction with zooarchaeological data to examine animal resource exploitation strategies and environmental change. We demonstrate a significant increase in the δ13C value of the C16:0 fatty acid through time, reflecting a substantial increase in C4 vegetation associated with increased aridity. However, despite the changing environmental conditions, North Africa offered a unique context for Neolithic developments. Lakes that persisted during the onset of Saharan aridification provided highly productive and sustainable ecological niches that supported the resilience of hunter-gatherer fisherfolk. Analysis of site distance to water and faunal exploitation strategies reveals a significant correlation between aquatic resource strategies and proximity to water. As such, we propose that rather than being a wave of expansion, as has often been suggested, cattle pastoralism in the Sahara happened as a sporadic expansion, with mid-Holocene populations adapting and specialising in the context of habitat fragmentation and increasing environmental diversity. © 2023",Faunal remains; Isotopes; Neolithic; Organic residue analysis; Palaeohydrology; Pastoralism; Sahara,Animals; Ecosystems; Fatty acids; Faunal remain; Habitat fragmentation; Holocenes; Neolithic; Organic residue analyse; Organic residues; Palaeohydrology; Pastoralism; Residue analysis; Sahara; Expansion; aridification; cattle; exploitation; food production; habitat fragmentation; Holocene; hunter-gatherer; hunting; Neolithic; pastoralism; Africa,Article,Final,Scopus,2-s2.0-85153567122,,FALSE,
"Fartash K., Ghorbani A.",57200421396;57261354600;,From a promising technological niche to an established market niche: Solar photovoltaic niche formation in Iran,2023,Energy for Sustainable Development,74,,,50,65,,,10.1016/j.esd.2023.03.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150066033&doi=10.1016%2fj.esd.2023.03.007&partnerID=40&md5=9b02362147055e16f8af91cf6af03c0e,"Transformation toward a low-carbon sustainable energy system is getting more recognition in oil-rich developing countries under pressure exerted by their growing environmental challenges and international treaties- including UN SDGs. This calls for concerted efforts for developing renewable energy technologies (RETs). In this regard, the current paper examines the historical development of the solar photovoltaic (PV) niche formation in Iran from 1990 to 2020 in two chronological phases, i.e., technological niches and market niches. We adopt strategic niche management framework and highlight the active role of government support should plays as a key prerequisite required for RET niches development in oil-rich developing countries (ORDCs) where market is heavily in favor of fossil sources of energy. Data was gathered through 19 semi-structured interviews as well as PV-related science and technology development activities. We found that while universities and research institutions played a pivotal role in PV technological niche formation, foreign direct investment (FDI) and local firms were instrumental in PV market niche development. Our findings provide recommendations to direct ORDCs in developing PV, which include proper implementation of feed-in tariff policy, enhanced collaboration among international and local actors, integrated and balanced development of the PV value chain, diversified application of PV in the residential and industrial sectors, and lastly, leveraging FDI and joint-ventures as means of promoting local technological capabilities, industrialization, and market expansion. © 2023 International Energy Initiative",Government support; Iran; Market niche; Oil-Rich developing countries; Solar photovoltaic system; Strategic Niche Management; Technological niche,Commerce; Investments; Renewable energy resources; Solar concentrators; Solar power generation; Government supports; Iran; Market niche; Oil-rich developing country; Photovoltaics; Renewable energy technologies; Solar photovoltaic system; Solar photovoltaics; Strategic niche management; Technological niche; Developing countries; alternative energy; developing world; industrialization; photovoltaic system; policy implementation; solar power; tariff structure; Iran,Article,Final,Scopus,2-s2.0-85150066033,,FALSE,
"Rasines L., Morera S., Miguel G.S., Artés-Hernández F., Aguayo E.",57210161432;55820514400;57782658300;55894452200;6602947995;,Environmental and economic sustainability of fresh-cut and pre-cooked vegetables,2023,Science of the Total Environment,872,,162169,,,,1,10.1016/j.scitotenv.2023.162169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147995375&doi=10.1016%2fj.scitotenv.2023.162169&partnerID=40&md5=ccfa755fc1a2f7c7d4e808675f3b18cb,"Due to the growing awareness about the environmental and economic sustainability of food products, the present research aims to evaluate the sustainability of fresh-cut and pre-cooked vegetables, a niche market with growing demand. An analysis was carried out using a detailed material, energy, and economic inventory based on a commercial food processing plant located in northeast Spain. The environmental sustainability was determined using process-based environmental life cycle assessment (E-LCA), applying a cradle-to-market approach, and using the EF3.0 impact assessment methodology to quantify impacts on five midpoint categories (climate change, photochemical ozone formation, acidification, freshwater eutrophication, and fossil resource use) and an aggregated single score. Additionally, an environmental life cycle costing (E-LCC) was performed. The pre-cooked vegetable products showed a higher environmental footprint than the fresh-cut products in all the impact categories (between 14.0 % and 39.9 %) and involved higher life cycle costs (15.2 %), due to the increased demand for ingredients, packaging materials, and electricity consumption per FU (kg of product). The carbon footprint (CF) and the cost for the fresh-cut products were 0.72 kg CO2 eq/kg and 2.62 €/kg, respectively, compared to 0.86 kg CO2/kg and 3.02 €/kg for the pre-cooked vegetables. The environmental profiles of both products were rather similar, with a dominance of the Upstream stage (production of ingredients and packaging materials), followed by the Core stage (mainly due to electricity consumed during vegetable processing). The relevance of the Core stage is amplified in the economic analysis due to the incorporation of certain processes which were not included in the process-based E-LCA (e.g., labour, capital, insurance, maintenance costs, etc.). To integrate the economic and environmental analyses, an eco-efficiency index was calculated that describes the carbon emissions per unit of monetary cost, resulting in 0.27 kg CO2eq/€ for the fresh-cut and 0.28 kg CO2 eq/€ for the pre-cooked vegetables. © 2023",Carbon footprint; Cradle-to-market; Eco-efficiency; Environmental life cycle costing; Life cycle assessment; Ready to eat,Carbon dioxide; Carbon footprint; Climate change; Cost benefit analysis; Economic analysis; Eutrophication; Packaging materials; Sustainable development; Vegetables; Cradle-to-market; Eco-efficiency; Economic sustainability; Environmental life cycle; Environmental life cycle costing; Environmental sustainability; Fresh-cut; Life cycle assessment; Life cycle costing; Ready-to-eat; Life cycle; carbon; fresh water; ozone; carbon dioxide; carbon emission; carbon footprint; economic analysis; food product; life cycle analysis; sustainability; vegetable; acidification; advertising; Article; capital; carbon emission; carbon footprint; climate change; controlled study; convenience food; cradle to market; economic development; economic efficiency; economic sustainability; electricity; environmental economics; environmental life cycle costing; environmental sustainability; eutrophication; food industry; food processing; fossil; fresh cut vegetable; insurance; labor; life cycle assessment; nonhuman; photochemistry; pre cooked vegetable; Spain; vegetable; food handling; procedures; Carbon Dioxide; Carbon Footprint; Climate Change; Food Handling; Vegetables,Article,Final,Scopus,2-s2.0-85147995375,,FALSE,
"Mas B., Riera S., Allué E.",57204124649;6603130966;15046474400;,Modelling Mediterranean oak palaeolandscapes using the MaxEnt model algorithm: The case of the NE Iberia under the Middle Holocene climatic scenario,2023,Ecological Informatics,74,,101984,,,,,10.1016/j.ecoinf.2023.101984,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146572779&doi=10.1016%2fj.ecoinf.2023.101984&partnerID=40&md5=152da618ba13118690aba39f9c7ef6de,"The Mediterranean Basin is a global biodiversity hotspot, and oak tree species play an important role in it. Since the beginning of the Holocene (∼11.4 kyr BP), the distribution of forests has not occurred uniformly, resulting in diverse types of vegetation landscapes. In this study, we used a maximum entropy algorithm (MaxEnt) to obtain the ecological niche model (ENM) of two sub-Mediterranean oak species, Quercus pubescens Willd. (pubescent oak) and Quercus ilex subsp. ilex (holm oak), both in the present day in the Iberian Peninsula and within a Middle Holocene (8.2–4.2 kyr BP) climatic scenario in the NE Iberian Peninsula. Moreover, we used the locations of Neolithic archaeological sites containing anthracological data to analyze the relationship between human occupations and oak habitats. Our results suggest that the two oaks have responded differently to the climatic conditions that have occurred, and show changes in both potential distributions. The palaeolandscape vegetation map shows a denser vegetation cover in the lowlands and a more open landscape in the highlands, with a higher dominance of Quercus pubescens in the septentrional areas, while Quercus ilex was more restricted to certain coastal areas. Temperature and precipitation factors, mainly seasonal climatic conditions, have had a greater impact on the distribution of vegetation than other factors. We found a good overlap between the ENM of the two oaks and the locations of the Neolithic sites analysed, and determined that the distribution of Neolithic archaeological sites is not random. The Neolithic populations in the study area depended heavily on the resources of the deciduous and evergreen sub- Mediterranean forest, although they also exploited the resources of the mountain pine forest. Neolithic sites distribution suggests that Neolithic human groups were aware of the potential of forests and probably gathered woody resources in their surroundings. © 2023 Elsevier B.V.",Anthracology; Climate change; Maximum entropy model; Mediterranean oaks; Neolithic populations,biodiversity; climate change; climate conditions; coniferous forest; deciduous tree; environmental factor; Holocene; Neolithic; seasonal variation; vegetation cover; Iberian Peninsula; Mediterranean Sea,Article,Final,Scopus,2-s2.0-85146572779,,TRUE,
"Brisson S.K., Pier J.Q., Beard J.A., Fernandes A.M., Bush A.M.",57382295300;57381237700;56688164700;57141641400;7201882768;,Niche conservatism and ecological change during the Late Devonian mass extinction,2023,Proceedings of the Royal Society B: Biological Sciences,290,1996,20222524,,,,,10.1098/rspb.2022.2524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151779735&doi=10.1098%2frspb.2022.2524&partnerID=40&md5=9c1fa27011d20276c1e6bd06edce6131,"Studies of the fossil record can inform our understanding of not only the causes of mass extinctions, but also their effects on biodiversity, ecology and evolution. Here, we examine regional-scale ecological changes resulting from a Late Devonian mass extinction event using brachiopod fossil assemblages from the Appalachian Basin. About half of the species went extinct, but were largely replaced by new immigrant taxa. Both before and after the extinction, the primary gradient in faunal composition was correlated with onshore-offshore position, with a second gradient attributed to frequency of disturbance. Survivors of the extinction displayed a strong degree of niche conservatism along these gradients. Despite these indicators of ecological stability, the pre- and post-extinction faunas were quite distinct at the order level, with atrypids and strophomenids largely replaced by productids, whose spiny shells may have provided greater resistance to disturbance and/or predation. Thus, extinction survivors persisted in similar ecological niches despite environmental perturbations and considerable change in the taxonomic and ecological composition of the regional species pool. © 2023 The Author(s).",Appalachian Basin; brachiopod; ecological gradient; Kellwasser events; palaeoecology,"brachiopod; Devonian; ecological impact; environmental disturbance; environmental gradient; fossil assemblage; mass extinction; niche partitioning; paleoecology; taxonomy; Appalachian Basin; animal; biodiversity; ecosystem; evolution; fossil; invertebrate; species extinction; Animals; Biodiversity; Biological Evolution; Ecosystem; Extinction, Biological; Fossils; Invertebrates",Article,Final,Scopus,2-s2.0-85151779735,,FALSE,
"Germeroth L., Sumnicht T., Verble R.",58203847800;55360659700;28368031600;,Scale-Dependent Spatial Ecology of Paleotropical Leaf Litter Ants (Hymenoptera: Formicidae),2023,Diversity,15,4,494,,,,,10.3390/d15040494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153948465&doi=10.3390%2fd15040494&partnerID=40&md5=4383458edb8a2c6c7173516264cf5ec6,"The grain for which an observer conducts a study is an important determinant of its outcome. Studies of ants have considered spatial grains spanning from single meters to entire forest ecosystems and found patterns related to nutrient availability, leaf litter depth, disturbance, and forest composition. Here, we examine a Bornean leaf litter ant community at small (1–4 m) and large (50–250 m) spatial scales and consider the differences in community structure using structured 1 m2 quadrats sampled via leaf litter sifting and Berlese extraction. We found that small-scale patterns in ant abundance and richness did not spatially autocorrelate within a plot until &gt;1.5 m. Leaf litter characteristics, forest stand characteristics and sampling season were homogenous among our sites, suggesting that macro-scale stand variables are not largely regulating the small spatial scale ant communities: These may be driven by microclimate, competition, niche space, nutrient available, microclimatic conditions, or other localized effects. Further experimental work is needed to elicit causal mechanisms. © 2023 by the authors.",biodiversity; Borneo; Malaysia; Sabah; semivariogram; tropical conservation; UNESCO man and biosphere reserve,ant; biodiversity; forest ecosystem; leaf litter; nutrient availability; species conservation; UNESCO; variogram; Borneo; East Malaysia; Malaysia; Sabah,Article,Final,Scopus,2-s2.0-85153948465,,FALSE,
"Escobedo-Morales L.A., León-Paniagua L., Martínez-Meyer E., Mandujano S.",57188590326;56000893100;6603255117;55930549000;,Reevaluation of the status of the Central American brocket deer Mazama temama (Artiodactyla: Cervidae) subspecies based on morphological and environmental evidence,2023,Journal of Mammalogy,104,2,,333,346,,1,10.1093/jmammal/gyac105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151178722&doi=10.1093%2fjmammal%2fgyac105&partnerID=40&md5=5877af6e2c4dd3ea5189a5270817d4da,"The Central American brocket deer (Mazama temama) is widespread across the Mesoamerican forests, yet it remains largely unknown. Three subspecies are recognized currently within M. temama using pelage coloration as the primary diagnostic character. However, it remains unclear if there is any pattern of morphological variation throughout its distribution. We compared two models of morphological subdivision, namely the traditional subspecies and another based on biogeographic provinces via 2D geometric morphometrics and ecological niche modeling. The second model presented a better fit to the observed variation in cranial shape and size. We found divergence in skull size between individuals from Mexico and Guatemala (northern group) relative to specimens from Honduras, Nicaragua, Costa Rica, and Panama (southern group), the latter being 8% larger than the northern group. Centroid size showed a significant correlation with geographic distance suggesting an isolation-by-distance pattern. Low geographical overlap between the two clusters suggests niche conservatism. Late Pleistocene dispersal from South to Central America and differences in available resources with subsequent isolation due to climatic barriers therefore may have promoted differentiation in size albeit without extensive changes in shape. In this context, the Motagua-Polochic-Jolotán fault system probably plays a key role in promoting morphological differentiation by climatic isolation. Finally, we suggest that M. t. temama (Kerr, 1792) and M. t. reperticia Goldman, 1913 should remain as valid names for the two morphological and ecologically differentiated groups detected here. © The Author(s) 2022. Published by Oxford University Press on behalf of the American Society of Mammalogists.",geometric morphometrics; Mazama temama; niche differentiation; northern Neotropics; paleoclimatic reconstruction; subspecies,deer; differentiation; divergence; environmental conditions; geometry; morphology; morphometry; Neotropical Region; niche; paleoclimate; Pleistocene; reconstruction; subspecies; Costa Rica; Guatemala [Central America]; Honduras; Mexico [North America]; Nicaragua; Panama [Central America],Article,Final,Scopus,2-s2.0-85151178722,,FALSE,
"Meng K., Teng Y., Ren W., Wang B., Geissen V.",57200824724;16426697600;36814340900;57199068332;6602225881;,Degradation of commercial biodegradable plastics and temporal dynamics of associated bacterial communities in soils: A microcosm study,2023,Science of the Total Environment,865,,161207,,,,,10.1016/j.scitotenv.2022.161207,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145240468&doi=10.1016%2fj.scitotenv.2022.161207&partnerID=40&md5=d69fbdb70714cd29e0c27d8a33310928,"Biodegradable plastics (BDPs) have been introduced to replace conventional fossil-based non-biodegradable plastics in agricultural production to reduce the accumulation of plastic debris in soils. However, the degradation performance of commercially available BDP products in real soils and the response of soil microbial communities to biodegradation remain unclear. Here, we explored the degradation characteristics of a commercial BDP product (made from starch, polylactic acid (PLA) and polybutylene adipate terephthalate (PBAT)) in different soils in a microcosm system over a period of 360 days. Temporal dynamics of associated bacterial communities in different soil niches (control soil, plastic surface soil and bulk soil (soil without close contact with plastics)) were profiled. Weight loss reached 42.0±1.2% to 48.0±2.2% in different soils after 360 days. The degradation of BDP followed the same pattern in different soils characterized by two distinct stages. In the first stage (day 0–30), BDPs experienced major weight loss (35.8–41.9%) which coincided with a drastic increase in the soil dissolve organic carbon (1.53–2.25 times the control soil) and the forming of distinct bacterial communities in the plastic surface soil. Thermalgravimetric analysis (TGA) and fourier transform infrared (FTIR) analysis confirmed the fast depletion of starch in this stage. In addition, observations with naked eyes and scanning electron microscope confirmed intensive microbial colonization on BDP surfaces. In the second stage (day 30–360), the degradation of remaining PLA and PBAT continued at a relatively slow rate. Meanwhile bacterial communities in the plastic surface soil started to gradually recover from the disturbance caused by fast biodegradation in the first stage in a soil-dependent manner. Our findings indicate that the degradation performance of BDPs was limited by the degradation rate of relatively recalcitrant components and the temporal dynamics of associated soil bacterial communities synchronized with the degradation of BDPs. © 2022",Biodegradable plastics; Biodegradation; DOC; Plastisphere; Soil bacterial community,Agriculture; Bacteria; Biodegradable polymers; Degradation; Dynamics; Elastomers; Fourier transform infrared spectroscopy; Organic carbon; Scanning electron microscopy; Soils; Starch; Thermogravimetric analysis; Bacterial community; Biodegradable plastics; Different soils; DOC; Performance; Plastic surfaces; Plastisphere; Soil bacterial community; Surface soil; Temporal dynamics; Biodegradation; biodegradable plastic; organic carbon; polylactic acid; plastic; polyester; starch; bacterium; biodegradation; dissolved organic carbon; microbial community; plastic; soil microorganism; temporal variation; Actinobacteria; Article; biodegradation; controlled study; DNA extraction; Firmicutes; Fourier transform infrared spectroscopy; microbial community; microcosm; nonhuman; polymerase chain reaction; Rhizobium; scanning electron microscopy; soil microflora; soil moisture; soil texture; Streptomyces; surface property; surface soil; thermogravimetry; ultraviolet visible spectrophotometry; agriculture; bacterium; soil; Agriculture; Bacteria; Biodegradable Plastics; Plastics; Polyesters; Soil; Starch,Article,Final,Scopus,2-s2.0-85145240468,,FALSE,
"Sassoon D., Lebreton V., Combourieu-Nebout N., Peyron O., Moncel M.-H.",58111150700;56344274500;57205068612;6603436920;6602599048;,"Palaeoenvironmental changes in the southwestern Mediterranean (ODP site 976, Alboran sea) during the MIS 12/11 transition and the MIS 11 interglacial and implications for hominin populations",2023,Quaternary Science Reviews,304,,108010,,,,,10.1016/j.quascirev.2023.108010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148537388&doi=10.1016%2fj.quascirev.2023.108010&partnerID=40&md5=7054ee2b834dd1fffac36f4c37be4f06,"The transition from the Marine Isotope Stage (MIS) 12 glacial (ca. 478–424 ka BP) to the MIS 11 interglacial (ca. 424–365 ka BP) is one of the most remarkable climatic shifts of the Middle Pleistocene and is regarded as a phase of major behavioural innovation for hominins. However, many of the available pollen records for this period are of low resolution or fragmented, limiting our understanding of millennial-scale climatic variability. We present a high-temporal resolution pollen record that encompasses the period between MIS 12 and MIS 10 (434–356 ka BP), recovered from the Ocean Drilling Program (ODP) Site 976 in the Alboran Sea. This study aims to provide new insights into the response of vegetation during the transition and to highlight patterns of climatic variability during MIS 11. The ODP Site 976 pollen record shows the shift from glacial to interglacial at 426 ka BP, highlighted by the transition from Pinus, herbaceous and steppic taxa to temperate and Mediterranean taxa. A climatic optimum for temperate and Mediterranean taxa is identified around 426–400 ka BP, equivalent to substage MIS 11c and synchronous with the maxima in SSTs, greenhouse gas concentrations and insolation. A phase with increased Pinus and Cedrus indicates the return to colder and more arid conditions during substage MIS 11b (400–390 ka BP). Substage MIS 11a (390–367 ka BP) is marked by a period of short-term warming followed by gradual cooling, until the return of glacial conditions during MIS 10. Forest contractions have been linked with high- and moderate-intensity climate events also observed in other pollen records and proxies from the Mediterranean and North Atlantic. Our results confirm the intense shift during the MIS 12/11 transition and show that this region is sensitive to millennial-scale climatic variation during MIS 11. The forest contractions observed in our record during events of millennial-scale variability appear to be less intense than in the central and eastern Mediterranean. This suggests that the southwestern Mediterranean may have been less variable during periods of climatic deterioration, thereby representing a possible ecological niche for vegetation. This may have provided a source of subsistence for hominins during harsher conditions, thus contributing to their demographic expansion and technological innovations. © 2023 Elsevier Ltd",Climate change; Long-term vegetation change; Marine record; Middle Pleistocene; Millennial-scale climate variability; Pollen; Southwestern Mediterranean; Vegetation dynamics,Deterioration; Forestry; Glacial geology; Greenhouse gases; Oceanography; Vegetation; Climate variability; Long-term vegetation change; Marine isotope stages; Marine record; Middle Pleistocene; Millennial-scale climate variability; Pollen; Southwestern mediterranean; Vegetation change; Vegetation dynamics; Climate change; climate change; climate variation; glacial-interglacial cycle; greenhouse gas; hominid; marine isotope stage; paleoenvironment; Pleistocene; pollen; vegetation dynamics; Alboran Sea; Atlantic Ocean; Atlantic Ocean (North); Mediterranean Sea,Article,Final,Scopus,2-s2.0-85148537388,,FALSE,
