"authors","year","title","doi","kingdom","taxa_res_modelled","num_taxa","time_modelled","time_projected","time_integrated","fossil_modelling","fossil_validation","additional_evidence_integration","additional_evidence","geographic_scale"
"Cruz-Jiménez I.; Delgado-Sánchez P.; Guerrero-González M.D.L.L.; Puente-Martínez R.; Flores J.; De-Nova J.A.",2023,"PREDICTING GEOGRAPHIC DISTRIBUTION AND HABITAT SUITABILITY OF OPUNTIA STREPTACANTHA IN PALEOCLIMATIC CURRENT AND FUTURE SCENARIOS IN MEXICO","10.1002/ece3.10050","Plantae","species",1,0,-130000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Cruz-Jiménez I.; Delgado-Sánchez P.; Guerrero-González M.D.L.L.; Puente-Martínez R.; Flores J.; De-Nova J.A.",2023,"PREDICTING GEOGRAPHIC DISTRIBUTION AND HABITAT SUITABILITY OF OPUNTIA STREPTACANTHA IN PALEOCLIMATIC CURRENT AND FUTURE SCENARIOS IN MEXICO","10.1002/ece3.10050","Plantae","species",1,0,-22000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Cruz-Jiménez I.; Delgado-Sánchez P.; Guerrero-González M.D.L.L.; Puente-Martínez R.; Flores J.; De-Nova J.A.",2023,"PREDICTING GEOGRAPHIC DISTRIBUTION AND HABITAT SUITABILITY OF OPUNTIA STREPTACANTHA IN PALEOCLIMATIC CURRENT AND FUTURE SCENARIOS IN MEXICO","10.1002/ece3.10050","Plantae","species",1,0,-22000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Cruz-Jiménez I.; Delgado-Sánchez P.; Guerrero-González M.D.L.L.; Puente-Martínez R.; Flores J.; De-Nova J.A.",2023,"PREDICTING GEOGRAPHIC DISTRIBUTION AND HABITAT SUITABILITY OF OPUNTIA STREPTACANTHA IN PALEOCLIMATIC CURRENT AND FUTURE SCENARIOS IN MEXICO","10.1002/ece3.10050","Plantae","species",1,0,0,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Cruz-Jiménez I.; Delgado-Sánchez P.; Guerrero-González M.D.L.L.; Puente-Martínez R.; Flores J.; De-Nova J.A.",2023,"PREDICTING GEOGRAPHIC DISTRIBUTION AND HABITAT SUITABILITY OF OPUNTIA STREPTACANTHA IN PALEOCLIMATIC CURRENT AND FUTURE SCENARIOS IN MEXICO","10.1002/ece3.10050","Plantae","species",1,0,50,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Cruz-Jiménez I.; Delgado-Sánchez P.; Guerrero-González M.D.L.L.; Puente-Martínez R.; Flores J.; De-Nova J.A.",2023,"PREDICTING GEOGRAPHIC DISTRIBUTION AND HABITAT SUITABILITY OF OPUNTIA STREPTACANTHA IN PALEOCLIMATIC CURRENT AND FUTURE SCENARIOS IN MEXICO","10.1002/ece3.10050","Plantae","species",1,0,70,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Cruz-Jiménez I.; Delgado-Sánchez P.; Guerrero-González M.D.L.L.; Puente-Martínez R.; Flores J.; De-Nova J.A.",2023,"PREDICTING GEOGRAPHIC DISTRIBUTION AND HABITAT SUITABILITY OF OPUNTIA STREPTACANTHA IN PALEOCLIMATIC CURRENT AND FUTURE SCENARIOS IN MEXICO","10.1002/ece3.10050","Plantae","species",1,0,90,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Wang L.; Liu J.; Liu J.; Wei H.; Fang Y.; Wang D.; Chen R.; Gu W.",2023,"REVEALING THE LONGTERM TREND OF THE GLOBALSCALE GINKGO BILOBA DISTRIBUTION AND THE IMPACT OF FUTURE CLIMATE CHANGE BASED ON THE ENSEMBLE MODELING","10.1007/s10531-023-02593-z","Plantae","species",1,0,-22000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Wang L.; Liu J.; Liu J.; Wei H.; Fang Y.; Wang D.; Chen R.; Gu W.",2023,"REVEALING THE LONGTERM TREND OF THE GLOBALSCALE GINKGO BILOBA DISTRIBUTION AND THE IMPACT OF FUTURE CLIMATE CHANGE BASED ON THE ENSEMBLE MODELING","10.1007/s10531-023-02593-z","Plantae","species",1,0,-6000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Wang L.; Liu J.; Liu J.; Wei H.; Fang Y.; Wang D.; Chen R.; Gu W.",2023,"REVEALING THE LONGTERM TREND OF THE GLOBALSCALE GINKGO BILOBA DISTRIBUTION AND THE IMPACT OF FUTURE CLIMATE CHANGE BASED ON THE ENSEMBLE MODELING","10.1007/s10531-023-02593-z","Plantae","species",1,0,0,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Wang L.; Liu J.; Liu J.; Wei H.; Fang Y.; Wang D.; Chen R.; Gu W.",2023,"REVEALING THE LONGTERM TREND OF THE GLOBALSCALE GINKGO BILOBA DISTRIBUTION AND THE IMPACT OF FUTURE CLIMATE CHANGE BASED ON THE ENSEMBLE MODELING","10.1007/s10531-023-02593-z","Plantae","species",1,0,50,FALSE,FALSE,FALSE,FALSE,NA,"global"
